,User_Name,Name,Description (Status),Tweets Posted,Location,No of Followers,Device Used for Tweet,Date of Tweet Creation,No of Friends
47,kishoragrawal22,Kishor Agrawal,#ExXavierite-Mumbai | Metals & Minerals | Natural Resources | Merchandiser | RealEstate Developer | FoodLover (veg) | Non Political |,"RT @CaSondagar: Virtual Digital Assets
#IncomeTax and #TDS as per #Budget2022 https://t.co/KbAId1EDUt","Mumbai, India",60,Twitter for iPhone,2022-02-07 06:54:28+00:00,252
48,MashooqAhmad,Shah Mashooq,businessman with keen interest in construction activities. Retweets doesn't necessarily mean endorsements.,"RT @peoples_review: A critical dissection of the #UnionBudget2022 shows that it's a sheer anti-people budget, continuing the #Modi regime's…",Jammu And Kashmir,111,Twitter for Android,2022-02-07 06:53:03+00:00,295
49,NeenaCHAKRABOR1,Neena CHAKRABORTY,,"RT @DRDO_India: Encouraging #DefenceRnD, #Budget2022 has given fillip to DRDO’s engagement with industry and academia besides the ongoing e…",,86,Twitter for Android,2022-02-07 06:52:55+00:00,20
50,NeenaCHAKRABOR1,Neena CHAKRABORTY,,"RT @DRDO_India: DRDO will work aggressively with academia, startups and industry to effectively utilise the budget provision of 68% of capi…",,86,Twitter for Android,2022-02-07 06:52:55+00:00,20
51,peoples_review,People's Review,"Critical analysis & review of politics, economy, society & world affairs. Independent but not neutral; on the side of the people. TG: https://t.co/aw4kYH08D4","A critical dissection of the #UnionBudget2022 shows that it's a sheer anti-people budget, continuing the #Modi regi… https://t.co/X9SFSKraSA","Asansol, India",1105,Twitter for Android,2022-02-07 06:52:51+00:00,922
52,sjanatwit,Sahadeb Jana,"Joint Director, STPI Kolkata","RT @stpiindia: #STPIUPDATE: Glimpses of Sh. Arvind Kumar, DG, #STPIINDIA sharing thoughts on #Budget2022 on @News18India, addressing at a w…",Views are personal...,86,Twitter Web App,2022-02-07 06:52:31+00:00,194
53,Shiwani9560,Shiwani Jha,,RT @drankitgupta37: The #Budget has laid the foundation and a roadmap for the economy over the next 25 years. The Park Group of Hospitals i…,,0,Twitter for Android,2022-02-07 06:52:11+00:00,2
54,TSSCINDIA,Telecom Sector Skill Council,"Telecom Sector Skill Council

To propel the development of India in Telecom, by delivering world-class skilled manpower.","#BudgetHighlights
India is at the helm for budding critical thinkers and starting valuable startups. TSSC is expand… https://t.co/sMEWn7zcz9","Gurgaon, India",3053,Twitter Web App,2022-02-07 06:51:30+00:00,350
55,EQourse,eQOURSE,"Helping EdTech with Curriculum Planning & Academic Content Development of K12, IIT-JEE, & NEET, AIIMS","The 2022 budget is expected to have a greater focus on the edtech sector as a whole, with significant investments t… https://t.co/BW66TjhbQL","Kota, Rajasthan",7,Twitter Web App,2022-02-07 06:51:12+00:00,7
56,svshaluraj,Shaluraj,"Tweet and Retweet are personal, not endorsement.",RT @arvindtw: Exclusive interview of Hon’ble MoS @GoI_MeitY Sh. @Rajeev_GoI with @TimesNow on the government’s recent announcements in #Bud…,Mangaluru,52,Twitter for Android,2022-02-07 06:50:57+00:00,14
57,TSSCINDIA,Telecom Sector Skill Council,"Telecom Sector Skill Council

To propel the development of India in Telecom, by delivering world-class skilled manpower.","#BudgetHighlights
We at TSSC align NSQF course development as per industry requirements and standards, We are const… https://t.co/D77CrzeMV4","Gurgaon, India",3053,Twitter Web App,2022-02-07 06:50:54+00:00,350
58,AparnaGKumar1,Aparna G Kumar,,Join us as we host a panel discussion on Budget 2022-23: Decoding what it means for MSMEs &amp; exporters on 5th Feb'20… https://t.co/AZ9YDPMCrm,,3,Twitter Web App,2022-02-07 06:50:46+00:00,0
59,IIMAJSWSPP,JSW School of Public Policy - IIMA,"The JSW School of Public Policy at the IIM Ahmedabad, (@IIMAhmedabad) is a centre of excellence in the making. RTs are not endorsements.",RT @Hyderabadi_chai: My comments on education initiatives in #Budget2022,"Ahmedabad, Gujarat, India",721,Twitter Web App,2022-02-07 06:50:44+00:00,175
60,Rashmi86033285,Rashmi,Fashion. Dance. Music,RT @99acresIndia: #BudgetWith99acres | #Budget2022 to begin at 11 o'clock sharp. Stay tuned for updates around Indian #realestate: https://…,,14,Twitter for Android,2022-02-07 06:50:40+00:00,4
61,Rashmi86033285,Rashmi,Fashion. Dance. Music,RT @99acresIndia: #BudgetWith99acres | @nsitharaman begins her #Budget2022 speech. Catch #LiveUpdates of #BudgetSession2022 here: https://t…,,14,Twitter for Android,2022-02-07 06:50:38+00:00,4
62,Rashmi86033285,Rashmi,Fashion. Dance. Music,"RT @99acresIndia: #BudgetWith99acres | FM #NirmalaSitharaman focuses on Road &amp; Rail projects in #Budget2022 

#99acres #BudgetSession2022 #…",,14,Twitter for Android,2022-02-07 06:50:35+00:00,4
63,Rashmi86033285,Rashmi,Fashion. Dance. Music,"RT @99acresIndia: #BudgetWith99acres | #AffordableHousing gets a major boost, FM announces completion of 80 lakh homes under #PMAY and allo…",,14,Twitter for Android,2022-02-07 06:50:32+00:00,4
64,Rashmi86033285,Rashmi,Fashion. Dance. Music,"RT @99acresIndia: #BudgetWith99acres | Realty to benefit as green approvals to become faster. FM announces expansion of Parivesh, a clearan…",,14,Twitter for Android,2022-02-07 06:50:30+00:00,4
